record_num,id,latitude,longitude,bearing,current_status,current_stop_sequence,direction_id,label,occupancy_status,revenue,speed,updated_at
1,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:01:54
2,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:01:54
3,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:01:54
4,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:01:54
5,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:01:54
6,y1915,42.341087,-71.057564,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:02:45
7,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:02:54
8,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:02:54
9,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:02:54
10,y1915,42.34112,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:02:54
11,y1915,42.34111,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:03:39
12,y1915,42.34111,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:03:39
13,y1915,42.34111,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:03:54
14,y1915,42.34111,-71.05765,135.0,STOPPED_AT,1.0,0,1915,MANY_SEATS_AVAILABLE,REVENUE,,2026-09-19 08:03:54
